"Two objects attract each other with a force of gravity (Fgrav) of 36 N. If the distance separating the objects is doubled and the masses one of the objects is tripled, then what is the new force of gravitational attraction? ",0
"Two objects attract each other with a force of gravity (Fgrav) of 36 N. If the distance separating the objects is doubled, then what is the new force of gravitational attraction?",0
"Two objects attract each other with a force of gravity (Fgrav) of 36 N. If the distance separating the objects is increased by a factor of 4 and the masses of both objects are tripled, then what is the new force of gravitational attraction?",0
Use the following information to help determine the acceleration of the planet Pluto about the sun.Mass of Sun = 1.991 x 1030 kg Sun-Pluto Distance = 5.91 x 1012 m,0
Use the following information to help determine the orbital velocity and orbital period of a satellite at a location of 15000 miles above the surface of the earth. Mass of Earth = 5.98 x 1024 kg Radius of Earth = 6.37 x 106 m 1609 m = 1.00 mi,0
"What is the acceleration of a piece of dust on an old-fashioned record album, 15 cm from the center, if the record is spinning at 33.3 rpm?",0
What is the gravitational attraction between the proton and electron in an Hydrogen atom if they are 5.3 x 10-11 meters apart? (mproton = 1.67 x 10-27 kg;  melectron = 9.11x10-31 kg),0
What is the period of rotation of Venus in earth years if it is a distance of 1.08 x 1011 meters from the sun? (The earth-sun distance is 1.5 x 1011 m.),0
What is the reading of a bathroom scale when a man of mass 72 kg stands on it while riding in an elevator accelerating upwards at 5.4 m/s2?,0
What is the tension in a 0.500 meter rope which carries a 2.50 kg bucket of water in a vertical circle with a velocity of 3.00 m/s when the bucket is at the bottom of its swing?,0
With what speed (in mi/hr) must you drive your car across the crest of a hill of radius 37.1-m in order to feel weightless (1.00 m/s = 2.24 mi/hr)?,0
Each of the protons in a particle beam has a kinetic energy of . What are the magnitude and direction of the electric field that will stop these protons in a distance of 2 m?,1
How many excess electrons must be added to an isolated spherical conductor 27 cm in diameter to produce an electric field of 1450 N/C just outside the surface?,1
In a Millikan oil drop experiment a student sprayed oil droplets with a density of between two horizontal parallel plates that were 6.0 cm apart. The student adjusted the potential difference between the plates to 5000 V so that one of the drops became stationary. The diameter of this drop was measured to be . What was the magnitude of the charge on the drop.,1
"Initially, sphere A has a charge of -50e and a sphere B has a charge of +20e. The spheres are made of conducting material and are identical in size. If the spheres then touch, what is the resulting charge on sphere A?",1
"Suppose that  of hydrogen is separated into its constituent protons and electrons, and that the protons are all grouped together at one point, and the electrons at another point, 3 meter distant. What is the magnitude of the force between the two groups of charge?",1
"Suppose that two point charges, each with a charge of +1.00 Coulomb are separated by a distance of 1.00 meter. Determine the magnitude of the electrical force of repulsion between them.",1
"Two identical spheres are each attached to a rope of length 1 m and hung from a common point. Each sphere has mass 1 kg. The radius of each sphere is very small compared to the distance between the spheres, so they may be treated as point charges. The spheres have positive charges. The spheres are in equilibrium and each rope makes an angle 30 degrees with the vertical. Find the tension of the ropes.",1
Two long straight wires carrying the same current I and separated by a distance r exert a force F on each other. The current is increased to 4I and the separation is reduced to r/6 . What will be the force between two wires?,1
"Two small beads having positive charges 25q and q are fixed at the opposite ends of a horizontal insulating rod, extending from the origin (the location of the larger charge) to the point x = d. A third small charged bead is free to slide on the rod. At what position is the third bead in equilibrium?",1
"You want to create an electric field at location . Where would you place a proton to produce this filed at the origin? Instead of a proton, where would you place an electron to produce this filed at the origin?",1
"A father is pulling his daughter uphill on a sled in slushy snow. The daughter has a mass of 22.7 kg; the sled has a mass of 3.18 kg. The coefficient of kinetic friction between the hill and the sled is 0.212 and the coefficient of static friction between the hilland the sled is 0.317. How hard does the father have to pull the sled in order to keep it moving at a constant velocity? The child holds on tightly and so does not fall off the sled, and the hill makes an angle of 15.5o with the horizontal",2
What is the net force on a puck if a force of 200 N [N] and a force of 300 N [E] is applied to the puck simultaneously?,2
Why is the height of the outer edge of a round track higher than the inner edge?,2
"A unifrom ring of mass m and radius r carries an eccentric mass m_0 at a radius b and is in eqiulibrium position on an incline, which makes an angle alpha with the horizontal. If the contacting surfaces are rough enough to prevent slipping, write the expression for the angle theta which defines the equilibrium position.",2
A 25.0 kg block is pulled along a frictionless horizontal surface by a string. The string makes an angle of 30º to the horizontal and is pulled by a 100 N force. What is the acceleration of the block?,2
If the weight of the car acts exactly halfway between the two wheels and the weight is 1000lbs how much force is exerted on the rear wheel? What about the front wheel?,2
A plane flies 34 km [N30oW] and after a brief stopover flies 58 km [N40oE]. Determine the plane's displacement.,2
"On a hot summer day a person goes for a walk to see if they can find a 7-Eleven to buy a Slurpee. He first walks 3.5 km [N], then 4.2 km [E] , and finally 1.4 km [S] before getting to the 7-Eleven. Oh, thank heaven! Determine the displacement of the person",2
"A child on a sled has been given a push so that she is moving up a hill. The hill is covered with icy snow and can be treated as frictionless. The child has a mass of 22.7 kg; the sled has a mass of 3.18 kg. What is the acceleration of the child as she moves up the incline? How far will she go before coming to a stop if her speed is 2 m/s when she starts at the bottom of the hill? She holds on tightly and so does not fall off the sled, and the hill makes an angle of 15.5 0 with the horizontal.",2
A wagon is being pulled by a rope that makes a 25o angle with the ground. The person is pulling with a force of 103 N along the rope. Determine the horizontal and vertical components of the vector,2
"In order to paint the outside of your house, you buy a 24 ft aluminum extension ladder. The ladder weighs 61 pounds, and has rubber caps on the bottom of the legs. You put the base of the ladder on the sidewalk 7.5 feet from the side of your house. Can you safely climb all the way up the ladder? Assume that there is no friction with the side of the house",2
"For no apparent reason, you decide to pull a heavy box of books across the floor using a spring. When you get the box moving at a constant velocity, the spring is stretched 0.10 m past its relaxed length. If the box has a mass of 35 kg and if the coefficient of friction between the box and the floor is 0.43, what is the spring constant of the spring? Assume that you pull the spring parallel to the floor",2
"A ferries wheel with radius 20 m which rotates counterclockwise, is just starting up. At a given moment, a passenger on the rim of the wheel and passing through the lowest point of his circular motion is moving at 3.00m/s and in gaining speed at a rate of  .Find the magnitude of the passenger's acceleration at the instant.",3
A kangaroo is capable of jumping to a height of 2.62 m. Determine the takeoff speed of the kangaroo.,3
A motor scooter travels east at a speed of 13 m/s. The driver then reverses direction and heads west at 17 m/s.  What was the change in velocity of the scooter?,3
A pair of trapeze performers at the circus is swinging from ropes attached to a large elevated platform. Suppose that the performers can be treated as a simple pendulum with a length of 16 m. Determine the period for one complete back and forth cycle.,3
A plane has a takeoff speed of 88.3 m/s and requires 1365 m to reach that speed. Determine the acceleration of the plane and the time required to reach this speed.,3
A race car accelerates uniformly from 18.5 m/s to 46.1 m/s in 2.47 seconds. Determine the acceleration of the car and the distance traveled.,3
A stone is dropped into a deep well and is heard to hit the water 3.41 s after being dropped. Determine the depth of the well.,3
A swimmer dived off a cliff with a running horizontal leap. What must his minimum speed be just as he leaves the top of the cliff so that he will miss the ledge at the bottom which is 2 m wide and 9 m below the top of the cliff?,3
"According to Wikipedia (and as of this writing), Tim Ahlstrom of Oconomowoc, WI holds the record for hand clapping. He is reported to have clapped his hands 793 times in 60.0 seconds.What is the frequency and what is the period of Mr. Ahlstrom's hand clapping during this 60.0-second period?",3
An airplane accelerates down a runway at 3.20 m/s2 for 32.8 s until is finally lifts off the ground. Determine the distance traveled before takeoff.,3
"An engineer is designing the runway for an airport. Of the planes that will use the airport, the lowest acceleration rate is likely to be 3 m/s2. The takeoff speed for this plane will be 65 m/s. Assuming this minimum acceleration, what is the minimum allowed length for the runway?",3
Anna Litical wishes to make a simple pendulum that serves as a timing device. She plans to make it such that its period is 1.00 second. What length must the pendulum have?,3
"If Michael Jordan has a vertical leap of 1.29 m, then what is his takeoff speed and his hang time (total time to move upwards to the peak and then return to the ground)?",3
"In an action film hero is supposed to throw a grenade from his car, which is going 90.km/h, to his enemy's car, which is going 110 km/h. The enemy's car is 15.8 m in front of the hero's when he lets go of the grenade. If the hero throws the grenade so its initial velocity relative to him is at an angle of 45(degree) above the horizontal, what should the magnitude of the initial velocity be? The cars are both traveling in the same direction on a level road. Ignore air resistance.Find the magnitude of the velocity both relative to the hero and relative to the earth.",3
"It was once recorded that a Jaguar left skid marks that were 290 m in length. Assuming that the Jaguar skidded to a stop with a constant acceleration of -3.90 m/s2, determine the speed of the Jaguar before it began to skid.",3
"Mac and Tosh stand 8 meters apart and demonstrate the motion of a transverse wave on a snakey. The wave e can be described as having a vertical distance of 32 cm from a trough to a crest, a frequency of 2.4 Hz, and a horizontal distance of 48 cm from a crest to the nearest trough. Determine the amplitude, period, and wavelength and speed of such a wave.",3
Ocean waves are observed to travel along the water surface during a developing storm. A Coast Guard weather station observes that there is a vertical distance from high point to low point of 4.6 meters and a horizontal distance of 8.6 meters between adjacent crests. The waves splash into the station once every 6.2 seconds. Determine the frequency and the speed of these waves.,3
"Rocket-powered sleds are used to test the human response to acceleration. If a rocket-powered sled is accelerated to a speed of 444 m/s in 1.83 seconds, then what is the acceleration and what is the distance that the sled travels?",3
The observation deck of tall skyscraper 370 m above the street. Determine the time required for a penny to free fall from the deck to the street below.,3
"Upton Chuck is riding the Giant Drop at Great America. If Upton free falls for 2.60 seconds, what will be his final velocity and how far will he fall?",3
With what speed in miles/hr (1 m/s = 2.23 mi/hr) must an object be thrown to reach a height of 91.5 m (equivalent to one football field)? Assume negligible air resistance.,3
"A 9230-kg truck collides head on with a 1250-kg parked car. The vehicles entangle together and slide a linear distance of 10.6 meters before coming to rest. Assuming a uniform coefficient of friction of 0.820 between the road surface and the vehicles, determine the pre-collision speed of the truck.",4
"A classic physics demonstration involves firing a bullet into a block of wood suspended by strings from the ceiling. The height to which the wood rises below its lowest position is mathematically related to the pre-collision speed of the bullet. If a 9.7-gram bullet is fired into the center of a 1.1-kg block of wood and it rises upward a distance of 33 cm, then what was the pre-collision speed of the bullet?",4
"A toy car “1” of mass 0.30 kg moves along a frictionless surface with a velocity of 0.20 m/s. It collides with another toy car “2”, with a mass of 0.40 kg and a speed of 0.10 m/s in the same direction. After the collision, toy car “1” continues to move in the same direction with a velocity of 0.15 m/s. Calculate the speed of toy car “2” after the collision.",4
"Ball A, with a mass of 2 kg, moves with a velocity 5 m/s. It collides with a stationary ball B, with a mass of 4 kg. After the collision, ball A moves in a direction 60.0 degrees to the left of its original direction, while ball B moves in a direction 50.0 degrees to the right of ballA's original direction. Calculate the velocities of each ball after the collision.",4
"In a physics lab, a 0.500-kg cart moving at 36.4 cm/s collides inelastically with a second cart which is initially at rest. The two carts move together with a speed of 21.8 cm/s after the collision. Determine the mass of the second cart.",4
"Object A of mass m1 is moving at a velocity v1 to the right. It collides and sticks to object B of mass m2 moving in the same direction as object A with a velocity v2. After collision, the two objects have a velocity equal to (1/2)(v1 + v2). What is the relationship between m1 and m2?",4
"A 2-Kilogram object slides, on a smooth surface, towards the north at a velocity of 5 meters per second. The object hits a fixed pole and is deflected from north to east by an angle of 60° and has a velocity of 5 meters per second. The change in the magnitude of the northward component of the moment of the object is",4
An object of mass 4 Kg is moving towards the east at a velocity of 6 meters per second. It collides and sticks to a 6-Kg object moving with a velocity of 5 meters per second in the same direction. How much kinetic energy was lost in the collision?,4
